review_id,user_id,rating,review_text,review_date,restaurant_id
813,1,2,"Giá cao nhưng chất lượng thấp, không đáng tiền.",2024-07-10,1968
888,1,4,"Đồ ăn ngon, phục vụ chu đáo.",2024-07-29,205
395,1,3,"Trải nghiệm vừa phải, không có gì đáng nhớ.",2024-06-18,1482
863,2,2,"Giá cao nhưng chất lượng thấp, không đáng tiền.",2024-06-14,650
253,2,2,"Có nhiều vấn đề, không tốt lắm.",2024-07-13,1033
305,3,5,"Quán ăn xuất sắc, đồ ăn ngon và phục vụ chu đáo.",2024-06-02,1422
20,3,2,"Không mấy ấn tượng, nhưng cũng tạm được.",2024-07-30,343
579,4,1,"Trải nghiệm tồi tệ, không muốn quay lại.",2024-07-17,548
863,4,1,Quá thất vọng về chất lượng.,2024-07-04,506
737,4,5,"Rất tuyệt vời, nhất định sẽ quay lại.",2024-06-16,834
929,4,3,"Bình thường, không có gì nổi bật.",2024-06-21,212
452,4,5,"Tuyệt vời, dịch vụ và món ăn đều hoàn hảo!",2024-07-19,1242
694,5,3,"Trải nghiệm vừa phải, không có gì đáng nhớ.",2024-06-16,693
600,5,2,"Có nhiều vấn đề, không tốt lắm.",2024-07-18,681
190,6,4,"Giá cả hợp lý, chất lượng tốt.",2024-07-02,1030
495,6,4,"Trải nghiệm khá ổn, hài lòng.",2024-07-10,1325
62,6,4,"Giá cả hợp lý, chất lượng tốt.",2024-06-15,281
989,6,5,"Rất tuyệt vời, nhất định sẽ quay lại.",2024-06-09,1895
472,6,3,"Bình thường, không có gì nổi bật.",2024-06-05,392
26,7,5,"Tuyệt vời, dịch vụ và món ăn đều hoàn hảo!",2024-06-19,1576
833,7,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-07-29,814
400,8,4,"Giá cả hợp lý, chất lượng tốt.",2024-06-20,1264
642,8,5,"Rất tuyệt vời, nhất định sẽ quay lại.",2024-07-16,493
591,8,2,"Dịch vụ không ổn định, khá chán.",2024-06-11,714
777,9,2,"Có nhiều vấn đề, không tốt lắm.",2024-06-09,929
225,9,5,"Tuyệt vời, dịch vụ và món ăn đều hoàn hảo!",2024-06-19,329
318,9,4,"Giá cả hợp lý, chất lượng tốt.",2024-07-14,1450
99,9,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-07-28,1385
326,10,1,Chờ đợi quá lâu và món ăn không ngon.,2024-07-19,1916
104,10,4,"Đồ ăn ngon, phục vụ chu đáo.",2024-07-04,517
92,10,1,Chờ đợi quá lâu và món ăn không ngon.,2024-07-20,1442
119,10,2,"Dịch vụ không ổn định, khá chán.",2024-07-12,1597
265,11,3,"Mọi thứ ổn, không có gì đặc biệt.",2024-07-07,238
254,11,4,"Giá cả hợp lý, chất lượng tốt.",2024-07-17,537
241,11,5,"Mọi thứ quá tuyệt, rất hài lòng!",2024-07-18,885
220,12,5,"Rất tuyệt vời, nhất định sẽ quay lại.",2024-06-05,331
887,12,1,Quá thất vọng về chất lượng.,2024-07-27,1535
590,12,4,"Trải nghiệm khá ổn, hài lòng.",2024-07-02,249
389,12,2,"Có nhiều vấn đề, không tốt lắm.",2024-07-31,1714
135,13,2,"Giá cao nhưng chất lượng thấp, không đáng tiền.",2024-06-03,1195
397,13,2,"Có nhiều vấn đề, không tốt lắm.",2024-06-15,294
764,13,3,Không tệ nhưng cũng không quá tốt.,2024-06-17,909
353,14,5,"Rất tuyệt vời, nhất định sẽ quay lại.",2024-07-23,1197
809,14,4,"Dịch vụ tốt, món ăn ngon, sẽ quay lại.",2024-06-03,1020
646,15,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-06-09,285
61,15,5,"Mọi thứ quá tuyệt, rất hài lòng!",2024-07-01,1477
258,15,2,"Có nhiều vấn đề, không tốt lắm.",2024-07-26,25
260,15,3,"Bình thường, không có gì nổi bật.",2024-06-08,1570
963,16,1,"Dịch vụ quá kém, không đáng giá.",2024-06-03,65
710,17,5,"Quán ăn xuất sắc, đồ ăn ngon và phục vụ chu đáo.",2024-06-04,930
362,17,1,"Trải nghiệm tồi tệ, không muốn quay lại.",2024-06-26,792
381,17,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-06-17,759
356,17,4,"Đồ ăn ngon, phục vụ chu đáo.",2024-07-20,745
254,17,4,"Dịch vụ tốt, món ăn ngon, sẽ quay lại.",2024-07-05,1489
233,18,2,"Không mấy ấn tượng, nhưng cũng tạm được.",2024-07-30,29
195,18,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-07-06,674
483,18,4,"Một buổi tối dễ chịu, sẽ giới thiệu bạn bè.",2024-07-25,1675
76,19,5,"Tuyệt vời, dịch vụ và món ăn đều hoàn hảo!",2024-06-26,778
287,20,1,Quá thất vọng về chất lượng.,2024-07-24,422
819,20,4,"Một buổi tối dễ chịu, sẽ giới thiệu bạn bè.",2024-06-17,443
191,21,3,"Trải nghiệm vừa phải, không có gì đáng nhớ.",2024-07-26,872
770,21,3,"Mọi thứ ổn, không có gì đặc biệt.",2024-07-02,1260
742,22,5,"Tuyệt vời, dịch vụ và món ăn đều hoàn hảo!",2024-06-26,266
532,22,5,"Quán ăn xuất sắc, đồ ăn ngon và phục vụ chu đáo.",2024-06-03,1190
251,22,5,"Rất tuyệt vời, nhất định sẽ quay lại.",2024-07-08,1072
633,22,5,"Quán ăn xuất sắc, đồ ăn ngon và phục vụ chu đáo.",2024-06-04,907
250,23,2,"Cần cải thiện nhiều hơn, cảm thấy chưa hài lòng.",2024-06-29,1160
911,23,4,"Đồ ăn ngon, phục vụ chu đáo.",2024-06-22,1975
858,23,4,"Dịch vụ tốt, món ăn ngon, sẽ quay lại.",2024-07-16,730
733,23,3,"Món ăn trung bình, dịch vụ cũng bình thường.",2024-06-16,1065
961,23,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-07-06,1444
85,24,3,Không tệ nhưng cũng không quá tốt.,2024-07-05,700
404,24,1,"Trải nghiệm tồi tệ, không muốn quay lại.",2024-06-28,1327
160,24,1,Chờ đợi quá lâu và món ăn không ngon.,2024-07-30,1490
140,24,4,"Trải nghiệm khá ổn, hài lòng.",2024-07-10,729
735,24,5,"Chất lượng tuyệt đỉnh, không chê vào đâu được.",2024-06-18,1157
85,25,2,"Không mấy ấn tượng, nhưng cũng tạm được.",2024-07-08,379
127,25,1,"Trải nghiệm tồi tệ, không muốn quay lại.",2024-06-06,473
842,25,2,"Cần cải thiện nhiều hơn, cảm thấy chưa hài lòng.",2024-07-13,1357
606,26,2,"Dịch vụ không ổn định, khá chán.",2024-07-07,67
214,26,2,"Không mấy ấn tượng, nhưng cũng tạm được.",2024-07-10,16
50,26,3,"Bình thường, không có gì nổi bật.",2024-06-30,466
588,26,5,"Mọi thứ quá tuyệt, rất hài lòng!",2024-06-30,1560
418,26,1,Chờ đợi quá lâu và món ăn không ngon.,2024-07-06,696
98,27,3,"Trải nghiệm vừa phải, không có gì đáng nhớ.",2024-07-14,762
104,27,2,"Giá cao nhưng chất lượng thấp, không đáng tiền.",2024-06-28,1540
452,27,1,"Không hài lòng chút nào, quá tệ!",2024-06-20,1428
