restaurant_id,restaurant_name,address,image_path_02
1,Bún Cá Lóc Kiên Giang - Bùi Đình Túy,"53 Bùi Đình Túy, P. 24, Quận Bình Thạnh, TP. HCM",images/248_truong_sa_quan_505.jpg
2,Bánh Tráng Muối Nhuyễn Na Na - Hương Lộ 2,"445 Hương Lộ 2, P. Bình Trị Đông, Quận Bình Tân, TP. HCM",images/365_pizza_truck__chuyen_pizza__ngo_quang_huy_550.jpg
3,Bánh Tráng Trộn Cô Loan,"56 Mã Lò, P. Bình Trị Đông A, Quận Bình Tân, TP. HCM",images/3a__com_van_phong_an_vat__an_em_246.jpg
4,Xôi Chiên Nhà Sushi,"50/22/2 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",images/3_rau__ga_ran_pizza__tra_sua__ton_an_397.jpg
5,Mì Dầu Hào HongKong Thượng Hạng - 港式蚝油捞面 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/4gstexas_bakery__mac_inh_chi_193.jpg
6,Đậu Hủ Cá Viên HongKong - 港式鱼丸豆腐,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/4t_cafe_514.jpg
7,茶餐厅 - Cha Chaan Teng - Ẩm Thực HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/6_giay_cafe_631.jpg
8,Chè Út Lyly - Nguyễn Trọng Tuyển,"384 Nguyễn Trọng Tuyển, P. 2, Quận Tân Bình, TP. HCM",images/acoustic__live_music_cafe_662.jpg
9,Village Romaine - Thảo Điền Village,"195 Nguyễn Văn Hưởng, P. Thảo Điền, Quận 2, TP. HCM",images/ac_san_mien_trung_716.jpg
10,Bibulous - Tapas & Cocktail Bar,"40A Trần Cao Vân, P. 6, Quận 3, TP. HCM",images/ac_san_nha_trang__le_trong_tan_485.jpg
11,Bánh Mì Tuấn Mập - Bánh Mì Chảo & Bò Bít Tết - Lãnh Binh Thăng,"116 Lãnh Binh Thăng, Quận 11, TP. HCM",images/ai_vy__sinh_to__nuoc_ep_288.jpg
12,American Hotdog,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/al_frescos__pizza_my_y_suon_steak_bo_bit_tet__nguyen_thi_nghia_147.jpg
13,Xôi Thịt Bò Quảng Đông 广式牛肉糯米饭 - Chè Trung Hoa,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/amai_sushi__60b_nguyen_thi_thap_330.jpg
14,Kaya Toast Nướng - Cá Viên Singapore - 新加波咖椰吐司-鱼丸,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/american_hotdog_5.jpg
15,港式甜品店 - Trôi Nước HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/american_hotdog_9.jpg
16,吐司工坊 奶茶档 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/am_thuc_chay_huong_sen__vuon_lai_404.jpg
17,港式点心火锅 - Dimsum & Lẩu Hải Sản HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/ang_cong_bang_133.jpg
18,Chè HongKong - 港式糖水 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/anh_thu__banh_mi__bun_thit_nuong_415.jpg
19,Xôi Cadé Trần Phú Chính Gốc - 咖椰糯米饭,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/anh_ut__mien_tron_sot_thai__met_cuon_rau_rung_356.jpg
20,Lẩu Cá Thác Lác Tươi Đặc Biệt - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",images/anh_vu__banh_canh_cua_290.jpg
21,Bún Bò Huế Nhiêu Tứ,"25 Nhiêu Tứ, P. 7, Quận Phú Nhuận, TP. HCM",images/an_binh__am_thuc_chay_huong_vi_phu_quoc_567.jpg
22,Lẩu Bò Nhà Gỗ - Lý Thái Tổ,"162 Lý Thái Tổ, P. 1, Quận 3, TP. HCM",images/an_la_ghien__mi_quang__com_ga_hoi_an__nguyen_thi_nhung_214.jpg
23,Phở & Lẩu Bò - Chợ Lớn,"63/3 Nguyễn Thị Nhỏ, P. 2, Quận 6, TP. HCM",images/an_vat_banh_trang_tron__banh_trang_sate__bui_thi_xuan_105.jpg
24,Huy Khánh - Hủ Tíu Nam Vang,"92 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",images/an_vat_banh_trang_tron__banh_trang_sate__bui_thi_xuan_110.jpg
25,SteakZone,"77 Lê Quang Sung, P. 6, Quận 6, TP. HCM",images/an_vat_bo_bia_thien_vu_669.jpg
26,Domino’s Pizza - Hòa Bình,"48 Hòa Bình, P. 5, Quận 11, TP. HCM",images/an_vat_ngoc_nga_731.jpg
27,Gà Rán KFC - Võ Văn Ngân,"251 Võ Văn Ngân, P. Linh Chiểu, Tp. Thủ Đức, TP. HCM",images/ao_hai_san__sushi__sashimi__pham_van_hai_60.jpg
28,NHÀ MẶP - Bạch Tuộc Phô Mai & Gà Ủ Muối Hoa Tiêu,"450 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",images/ao_hai_san__sushi__sashimi__pham_van_hai_65.jpg
29,Gà rán và Mì Ý - Jollibee - Hoa Sứ,"Tầng 2, Coopmart Rạch Miễu, 48 Hoa Sứ, P. 7 , Quận Phú Nhuận, TP. HCM",images/au_hu_ca_vien_hongkong___2.jpg
